datetime,Average Tone,entity
2018-05-09 00:00:00+00:00,-0.9181,Putin
2018-05-10 00:00:00+00:00,-1.9213,Putin
2018-05-11 00:00:00+00:00,-1.683,Putin
2018-05-12 00:00:00+00:00,-1.8503,Putin
2018-05-13 00:00:00+00:00,-2.4895,Putin
2018-05-14 00:00:00+00:00,-1.8962,Putin
2018-05-15 00:00:00+00:00,-2.2576,Putin
2018-05-16 00:00:00+00:00,-2.0082,Putin
2018-05-17 00:00:00+00:00,-1.874,Putin
2018-05-18 00:00:00+00:00,-1.8041,Putin
2018-05-19 00:00:00+00:00,-1.9236,Putin
2018-05-20 00:00:00+00:00,-1.5829,Putin
2018-05-21 00:00:00+00:00,-1.6154,Putin
2018-05-22 00:00:00+00:00,-1.3369,Putin
2018-05-23 00:00:00+00:00,-1.808,Putin
2018-05-24 00:00:00+00:00,-1.8017,Putin
2018-05-25 00:00:00+00:00,-1.8239,Putin
2018-05-26 00:00:00+00:00,-1.2512,Putin
2018-05-27 00:00:00+00:00,-1.0988,Putin
2018-05-28 00:00:00+00:00,-1.5904,Putin
2018-05-29 00:00:00+00:00,-2.0576,Putin
2018-05-30 00:00:00+00:00,-3.9188,Putin
2018-05-31 00:00:00+00:00,-2.3515,Putin
2018-06-01 00:00:00+00:00,-1.6148,Putin
2018-06-02 00:00:00+00:00,-1.6298,Putin
2018-06-03 00:00:00+00:00,-1.502,Putin
2018-06-04 00:00:00+00:00,-1.7147,Putin
